studentid,firstname,surname,address,postcode,gender,dob,mobile,email,enrollmentno,status,parent,pfirstname,psurname,paddress,pworkphone,pmobile,pemail,course,coursecode,faculty,deanoffac,hos,proleader,coursetutor1,coursetutor2,building,coursefee,homestd,overseastd,accommodation,exchange,scholarship,ba,bsc,ma,msc,phd,datasci,eventdriprog,objectori,spreadsheet,sysanalysis,infotech,digitalgrap,english,games,animation,database1,maths1,addmaths1,physics,media,graphicdesign,artificialintel,architecture,machinelearn,socialcomputing,informationsecur,networkingcomm,module1,module2,module3,module4,module5,module6,module7,module8,module9,subject1,subject2,subject3,subject4,subject5,subject6,subject7,subject8,subject9,totalscore,percentage,ranking,dateofrank
678876,Nathaly,Cuevas,"North Carolina america",PO66,Female,09/07/21,8478476678,kayla345@yahoo.com,SU78905,Married,Father,Dada,Cuevas,"New York street5",923829891,2378927892,kosugacuevas.gmail.com,"Ph.D. Computer Science",PhDCS03,"School of Computer Science","Prof. Hammad Khan","Dr. Xing Yu","Dr. Teresa Suzan","Dr.Leen Dahmer","Prof. Sadia Noman","B Block",1800$,No,Yes,No,Yes,Yes,0,0,0,0,7,No,No,No,"Core Unit",No,No,No,"Core Unit",No,No,"Core Unit",No,No,"Core Unit",No,"Core Unit",No,"Core Unit","Core Unit",No,"Core Unit","Core Unit",99,76,99,49,54,90,100,60,67,"Computer Architecture",Spreadsheet,"Information Security",English,"Graphic Designing",Database,Physics,"Networking and Communications","Machine Learning",694,77,"2nd Class",09-07-21
761900,Iqra,Amir,"North Nazimabad block F",Po96,Female,07/03/02,07838782982,387468793892,SU6780,Single,Father,MAmir,Ahmed,"North nazimabad block f",0892839737,08329823890,AmirAhmed@gmail.com,"M.Sc. Artificial Intelligence",MScAI02,"School of Computer Science","Prof.Ifra Mughal","Dr. Xing Yu","Dr.Yashraj Kumar","Dr.Sonia Atif","Dr.Hajra binte Asif","I Block",2000$,Yes,No,Yes,No,Yes,0,0,0,3,0,No,No,"Core Unit",No,No,No,"Core Unit",No,No,No,"Core Unit",No,"Core Unit",No,No,"Core Unit",No,No,"Core Unit","Core Unit","Core Unit","Core Unit",99,89,76,100,78,68,90,70,91,"Social Computing","Object Oriented","Information Security","Digital Graphics","Graphic Designing",Database,AddMaths,"Networking and Communications","Machine Learning",761,84,"2nd Class",12-07-21
767761,Ghana,Ali,"hunza,H block",PO90,Female,09/07/21,882738273,ghania678@yahoo.com,SU897,Married,Brother,Shah,Khan,"Abbotabad,sector 9",83782781298,838378738,hiegiywghdrh,"Course Selector",,,,,,,,,,No,No,No,No,No,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,
767766,Ghana,Ali,"hunza,H block",PO90,Female,09/07/21,882738273,ghania678@yahoo.com,SU897,Married,Brother,Shah,Khan,"Abbotabad,sector 9",83782781298,838378738,hiegiywghdrh,"Course Selector",,,,,,,,,,No,No,No,No,No,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,
767769,Ghana,Ali,"hunza,H block",PO90,Female,09/07/21,882738273,ghania678@yahoo.com,SU897,Married,Brother,Shah,Khan,"Abbotabad,sector 9",83782781298,838378738,hiegiywghdrh,"Course Selector",,,,,,,,,,No,No,No,No,No,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,
768767867,Laiba,Arif,ghuuvugcv,po34,Female,03/07/21,098987897,yfyugjhv,vhgvv,Married,Father,cgfxcgfc,gvghvh,vcfchg,098897,089798,vjhvjhvkh,"Course Selector",,,,,,,,,,No,No,No,No,No,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,None,None,None,None,None,None,None,None,,,,,,,,,None,,,,,,,,,None,,,None,
786543,Aiman,Shah,"Saddar,model town karachi",PO97,Female,04/01/17,9894387389,ayesha@gmail.com,SU6789,Married,Guidance,Fahad,Mirza,"defence,phase 5",283992891,3893820981,fahadkhan@yahoo.com,"BSc Information System",BScIS01,"School of Computer Science","Prof.Bill Gates","Mark Zukerberg Anthony","Dr. Peter Stone","Dr. Ayesha Sohail","Dr. Rehan Aslam","C Block",1200$,No,Yes,No,No,No,0,5,0,0,0,No,No,No,"Core Unit","Core Unit",No,"Core Unit",No,"Core Unit",No,No,"Core Unit","Core Unit",No,No,No,"Core Unit","Core Unit",No,No,No,"Core Unit",99,78,65,89,99,87,66,65,71,"Computer Architecture",Spreadsheet,"System Analysis","Digital Graphics",Games,Maths,AddMaths,"Networking and Communications","Artificial Intelligence",719,79,"1st Class",09-07-21
7874893,Kayla,Kosuga,"North Carolina",PO78,Female,09/07/21,0283873872782,kayla345@yahoo.com,SU78905,Married,Father,Kosuga,Cuevas,"New York street5",0923829891,2378927892,kosugacuevas.gmail.com,"Ph.D. Computer Science",PhDCS03,"School of Computer Science","Prof. Hammad Khan","Dr. Xing Yu","Dr. Teresa Suzan","Dr.Leen Dahmer","Prof. Sadia Noman","B Block",1800$,No,Yes,No,Yes,Yes,0,0,0,0,7,No,No,"Core Unit",No,No,No,No,"Core Unit",No,No,"Core Unit",No,No,"Core Unit",No,"Core Unit",No,"Core Unit","Core Unit",No,"Core Unit","Core Unit",67,78,99,67,83,99,100,78,87,"Computer Architecture","Object Oriented","Information Security",English,"Graphic Designing",Database,Physics,"Networking and Communications","Machine Learning","1st Class",758,84,09-07-21
789654,Ayesha,Siddiqui,"Saddar,model town karachi",PO97,Female,04/01/17,09894387389,ayesha@gmail.com,SU6789,Married,Guidance,Fahad,Mirza,"defence,phase 5",0283992891,3893820981,fahadkhan@yahoo.com,"BSc Information System",BScIS01,"School of Computer Science","Prof.Bill Gates","Mark Zukerberg Anthony","Dr. Peter Stone","Dr. Ayesha Sohail","Dr. Rehan Aslam","C Block",1200$,No,Yes,No,No,No,0,5,0,0,0,No,No,No,"Core Unit","Core Unit",No,"Core Unit",No,"Core Unit",No,No,"Core Unit","Core Unit",No,No,No,"Core Unit","Core Unit",No,No,No,"Core Unit",99,78,65,89,99,87,66,65,71,"Computer Architecture",Spreadsheet,"System Analysis","Digital Graphics",Games,Maths,AddMaths,"Networking and Communications","Artificial Intelligence",719,79,"1st Class",09-07-21
90,Ghania,Shah,"hunza,H block",PO90,Female,09/07/21,882738273,ghania678@yahoo.com,SU897,Married,Brother,Shah,Khan,"Abbotabad,sector 9",83782781298,838378738,,"Course Selector",,,,,,,,,,No,No,No,No,No,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,
9080,Ghania,Shah,"hunza,H block",PO90,Female,09/07/21,882738273,ghania678@yahoo.com,SU897,Married,Brother,Shah,Khan,"Abbotabad,sector 9",83782781298,838378738,shahkhan@gmail.com,"Course Selector",,,,,,,,,,No,No,No,No,No,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,
90800,Ghania,Shah,"hunza,H block",PO90,Female,09/07/21,882738273,ghania678@yahoo.com,SU897,Married,Brother,Shah,Khan,"Abbotabad,sector 9",83782781298,838378738,shahkhan@gmail.com,"M.Sc. Artificial Intelligence",MScAI02,"School of Computer Science","Prof.Ifra Mughal","Dr. Xing Yu","Dr.Yashraj Kumar","Dr.Sonia Atif","Dr.Hajra binte Asif","I Block",2000$,No,Yes,No,Yes,Yes,0,0,0,6,0,No,No,No,"Core Unit","Core Unit",No,No,"Core Unit",No,No,No,"Core Unit",No,"Core Unit","Core Unit",No,No,No,"Core Unit","Core Unit",No,"Core Unit",78,56,34,98,34,23,89,74,89,"Social Computing",Spreadsheet,"System Analysis",English,Media,Maths,Physics,"Networking and Communications","Machine Learning","3rd Class",575,63,09-07-21
981234,Sania,khan,"Saddar,model town karachi",PO97,Female,04/01/17,09894387389,ayesha@gmail.com,SU6789,Married,Guidance,Fahad,Mirza,"defence,phase 5",0283992891,3893820981,fahadkhan@yahoo.com,"BSc Information System",BScIS01,"School of Computer Science","Prof.Bill Gates","Mark Zukerberg Anthony","Dr. Peter Stone","Dr. Ayesha Sohail","Dr. Rehan Aslam","C Block",1200$,No,Yes,No,No,No,0,5,0,0,0,No,No,No,"Core Unit","Core Unit",No,"Core Unit",No,"Core Unit",No,No,"Core Unit","Core Unit",No,No,No,"Core Unit","Core Unit",No,No,No,"Core Unit",99,78,65,89,99,87,66,65,71,"Computer Architecture",Spreadsheet,"System Analysis","Digital Graphics",Games,Maths,AddMaths,"Networking and Communications","Artificial Intelligence",719,79,"1st Class",09-07-21
9836,Sarah,Khan,"Peshawar Quetta",PO67,Male,08/07/76,7473672378,elonmusk@gmail.com,EGU789,Married,Father,Musk,Hammon,"paris,france",9898988328,9832977387,muskhammon@gmail.com,"Ph.D. Computer Science",PhDCS03,"School of Computer Science","Prof. Hammad Khan","Dr. Xing Yu","Dr. Teresa Suzan","Dr.Leen Dahmer","Prof. Sadia Noman","B Block",1800$,No,Yes,Yes,Yes,Yes,0,4,0,0,0,"Core Unit","Core Unit","Core Unit",No,"Core Unit",No,"Core Unit",No,"Core Unit",No,"Core Unit",No,No,"Core Unit",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,98,99,98,67,93,89,99,91,NULL,"Event Driven Prog","Object Oriented","System Analysis","Digital Graphics",Games,Database,Physics,DataScience,NULL,91,"1st Class",734,06-07-21
987012,Ayeza,Altaf,"Peshawar Quetta",PO67,Male,08/07/76,07473672378,elonmusk@gmail.com,EGU789,Married,Father,Musk,Hammon,"paris,france",9898988328,09832977387,muskhammon@gmail.com,"BSc Software Engineering",BScSE01,"School of Computer Science","Prof. Joseph Wakai","Dr. Hafsa Siddiqui","Dr. Naomi Teesa","Dr.Leen Dahmer","Prof. Sadia Noman","G Block",1400$,No,Yes,Yes,Yes,Yes,0,4,0,0,0,"Core Unit","Core Unit","Core Unit",No,"Core Unit",No,"Core Unit",No,"Core Unit",No,"Core Unit",No,No,"Core Unit",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,98,99,98,67,93,89,99,91,NULL,"Event Driven Prog","Object Oriented","System Analysis","Digital Graphics",Games,Database,Physics,DataScience,NULL,"1st Class",734,91,06-07-21
